lat,lon,stopId,tag,title
37.79056,-122.3899,14511,4511,The Embarcadero & Folsom St
37.7836,-122.3883199,14531,4531,The Embarcadero & Townsend St
37.7798,-122.3899399,15236,5236,King St & 2nd St
37.7761499,-122.39394,17366,7366,4th Street & King St
37.7726199,-122.3897899,13016,3016,3rd St & Mission Rock St
37.76932,-122.38944,17324,7324,3rd St & Gene Friend Way
37.7641799,-122.3889399,17382,7382,Third Street & Mariposa St.
37.7605899,-122.3887,13104,3104,3rd St & 20th St
37.75506,-122.3881,13108,3108,3rd St & 23rd St
37.7490999,-122.3875699,17378,7378,Third Street & Marin St
37.7424399,-122.38815,13123,3123,3rd St & Evans Ave
37.73932,-122.3892599,13129,3129,3rd St & Innes Ave
37.7379299,-122.38962,13135,3135,3rd St & Kirkwood Ave
37.7347899,-122.39072,13143,3143,3rd St & Oakdale Ave
37.7321999,-122.39173,13113,3113,3rd St & Bayview St
37.72917,-122.3927799,13150,3150,3rd St & Williams Ave
37.7256699,-122.3943,13115,3115,3rd St & Carroll Ave
37.7222599,-122.39584,17171,7171,3rd St & Paul Ave
37.7208599,-122.39646,13146,3146,3rd St & Salinas Ave
37.71481,-122.3993599,13776,3776,Bayshore Blvd & Campbell Ave
37.7122099,-122.4027399,13772,3772,Bayshore Blvd & Arleta Ave
37.7105699,-122.40449,16847,6847,Visitacion Ave & Bayshore Blvd
37.7944499,-122.39492,17227,7227,Market & Steuart
37.7934699,-122.39618,15669,5669,Market St & Drumm St
37.7911099,-122.39907,15657,5657,Market St & Battery St
37.7893499,-122.40131,15639,5639,Market St & 2nd St
37.78773,-122.4033699,15678,5678,Market St & Kearny St
37.7857799,-122.40586,15694,5694,Market St & Stockton St
37.7840799,-122.40799,15655,5655,Market St & 5th St North
37.7823199,-122.41023,15695,5695,Market St & Taylor St
37.78057,-122.4124399,15656,5656,Market St & 7th St North
37.77911,-122.4143799,15676,5676,Market St & Hyde St
37.7775899,-122.41621,15679,5679,Market St & Larkin St
37.7751999,-122.41925,15696,5696,Market St & Van Ness Ave
37.7732699,-122.42177,15672,5672,Market St & Gough St
37.77095,-122.4246699,15681,5681,Market St & Laguna St
37.7697899,-122.42615,15659,5659,Market St & Buchanan St
37.7673999,-122.42931,15661,5661,Market St & Church St
37.76619,-122.4307099,15690,5690,Market St & Sanchez St
37.76391,-122.4336599,15654,5654,Market St & 16th St
37.76302,-122.4349799,15667,5667,Market St & Castro St
37.7482099,-122.4588999,15247,5247,Forest Hill Station
37.74088,-122.46572,17582,7582,Ulloa & West Portal
37.7407699,-122.46591,17112,7112,West Portal Ave & Ulloa St.
37.7482099,-122.4588999,115247,15247,Forest Hill Station
37.7624599,-122.43545,15665,5665,Market St & Castro St
37.76396,-122.4333199,15687,5687,Market St & Noe St
37.76569,-122.4311399,15691,5691,Market St & Sanchez St
37.76759,-122.4287999,15662,5662,Market St & Church St
37.7688799,-122.4271,15668,5668,Market St & Dolores St
37.77057,-122.4249699,15675,5675,Market St & Guerrero St
37.77288,-122.4219899,15673,5673,Market St & Gough St
37.7750599,-122.41932,15692,5692,Market St & South Van Ness Ave
37.77741,-122.4163399,15652,5652,Market St & 9th St
37.77861,-122.4148299,15651,5651,Market St & 8th St
37.78036,-122.4126099,15650,5650,Market St & 7th St
37.7821,-122.4103999,15647,5647,Market St & 6th St
37.78389,-122.4081399,15645,5645,Market St & 5th St
37.7857099,-122.40585,15643,5643,Market St & 4th St
37.78753,-122.4035199,15640,5640,Market St & 3rd St
37.7886099,-122.40216,15685,5685,Market St & New Montgomery St
37.7909399,-122.39919,17264,7264,Market St & 1st St
37.79298,-122.39663,15682,5682,Market St & Main St
37.7932299,-122.39654,17217,7217,Embarcadero Station Outbound
37.78879,-122.4021299,16994,6994,Montgomery Station Outbound
37.7843,-122.4078199,16995,6995,Powell Station Outbound
37.7786799,-122.41499,16997,6997,Civic Center Station Outbound
37.7752299,-122.41934,16996,6996,Van Ness Station OB
37.7673299,-122.42932,16998,6998,Church St Station Outbound
37.7626799,-122.43529,16991,6991,Castro Station Outbound
37.7481699,-122.45919,16993,6993,Forest Hill Station Outbound
37.7409499,-122.4658,16739,6739,West Portal Station
37.7415399,-122.46847,16736,6736,Ulloa St & Forest Side Ave
37.74312,-122.4713,13266,3266,15th Ave & Taraval St
37.7431099,-122.47544,16616,6616,Taraval St & 19th Ave
37.7428699,-122.48045,16620,6620,Taraval St & 23rd Ave
37.7427799,-122.48307,16622,6622,Taraval St & 26th Ave
37.7425899,-122.48734,16626,6626,Taraval St & 30th Ave
37.7424899,-122.48949,16628,6628,Taraval St & 32nd Ave
37.7422899,-122.49436,16640,6640,Taraval St & Sunset Blvd
37.7421199,-122.49805,16632,6632,Taraval St & 40th Ave
37.74202,-122.5001999,16634,6634,Taraval St & 42nd Ave
37.74192,-122.5023499,16636,6636,Taraval St & 44th Ave
37.74182,-122.5044899,16638,6638,Taraval St & 46th Ave
37.74,-122.50458,13600,3600,46th Ave & Ulloa St
